model_name,model_config,seq_len,batch_size,model_size_mb,activation_memory_mb,kv_cache_mb,reserved_memory_mb,total_memory_mb
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,256,1,942.29,82.78,3.0,1222.0,1028.08
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,512,1,942.29,157.41,6.0,1228.0,1105.71
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,1024,1,942.29,306.67,12.0,1526.0,1260.96
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,2048,1,942.29,605.69,24.0,1834.0,1571.98
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,4096,1,942.29,1203.22,48.0,2454.0,2193.51
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,8192,1,942.29,2396.28,96.0,3818.0,3434.57
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,16384,1,942.29,4784.41,192.0,6600.0,5918.7
mamba-790m,state-spaces/mamba-790m,256,1,1512.92,271.45,0,1826.0,1784.37
mamba-790m,state-spaces/mamba-790m,512,1,1512.92,60.3,0,2026.0,1573.22
mamba-790m,state-spaces/mamba-790m,1024,1,1512.92,110.79,0,2026.0,1623.71
mamba-790m,state-spaces/mamba-790m,2048,1,1512.92,212.01,0,2026.0,1724.92
mamba-790m,state-spaces/mamba-790m,4096,1,1512.92,414.45,0,2422.0,1927.36
mamba-790m,state-spaces/mamba-790m,8192,1,1512.92,819.7,0,2860.0,2332.61
mamba-790m,state-spaces/mamba-790m,16384,1,1512.92,1629.82,0,4174.0,3142.74
mamba-790m,state-spaces/mamba-790m,24576,1,1512.92,2438.82,0,5394.0,3951.74
mamba-790m,state-spaces/mamba-790m,32768,1,1512.92,3248.57,0,6708.0,4761.49
zamba2,Zyphra/Zamba2-1.2B-Instruct-v2,256,1,2317.55,50.82,50.0,3880.0,2418.37
zamba2,Zyphra/Zamba2-1.2B-Instruct-v2,512,1,2317.55,65.66,87.36,3882.0,2470.57
zamba2,Zyphra/Zamba2-1.2B-Instruct-v2,1024,1,2317.55,123.43,135.36,3882.0,2576.34
zamba2,Zyphra/Zamba2-1.2B-Instruct-v2,2048,1,2317.55,241.96,231.36,3882.0,2790.87
zamba2,Zyphra/Zamba2-1.2B-Instruct-v2,4096,1,2317.55,492.01,423.36,3880.0,3232.91
zamba2,Zyphra/Zamba2-1.2B-Instruct-v2,8192,1,2317.55,1037.12,807.36,5414.0,4162.02
mamba2-780m,state-spaces/mamba2-780m,256,1,1488.04,278.6,0,1868.0,1766.64
mamba2-780m,state-spaces/mamba2-780m,512,1,1488.04,60.86,0,1678.0,1548.9
mamba2-780m,state-spaces/mamba2-780m,1024,1,1488.04,110.24,0,1770.0,1598.28
mamba2-780m,state-spaces/mamba2-780m,2048,1,1488.04,211.32,0,1918.0,1699.36
mamba2-780m,state-spaces/mamba2-780m,4096,1,1488.04,413.79,0,2232.0,1901.83
mamba2-780m,state-spaces/mamba2-780m,8192,1,1488.04,818.98,0,2856.0,2307.02
mamba2-780m,state-spaces/mamba2-780m,16384,1,1488.04,1629.1,0,4082.0,3117.14
mamba2-780m,state-spaces/mamba2-780m,24576,1,1488.04,2439.23,0,5310.0,3927.27
mamba2-780m,state-spaces/mamba2-780m,32768,1,1488.04,3249.35,0,6536.0,4737.39
llama3_2,meta-llama/Llama-3.2-1B-Instruct,256,1,2357.13,72.0,8.03,2872.0,2437.16
llama3_2,meta-llama/Llama-3.2-1B-Instruct,512,1,2357.13,135.63,16.03,2884.0,2508.79
llama3_2,meta-llama/Llama-3.2-1B-Instruct,1024,1,2357.13,262.89,32.9,2862.0,2652.92
llama3_2,meta-llama/Llama-3.2-1B-Instruct,2048,1,2357.13,518.16,64.03,3366.0,2939.32
llama3_2,meta-llama/Llama-3.2-1B-Instruct,4096,1,2357.13,1026.44,128.03,3866.0,3511.6
llama3_2,meta-llama/Llama-3.2-1B-Instruct,8192,1,2357.13,2044.5,256.03,5518.0,4657.66
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,256,1,994.51,271.2,-230.26,1050.0,1035.45
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,512,1,994.51,73.46,0.0,1100.0,1067.97
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,1024,1,994.51,139.04,0.0,1182.0,1133.56
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,2048,1,994.51,268.58,0.0,1342.0,1263.09
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,4096,1,994.51,528.73,0.0,1662.0,1523.24
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,8192,1,994.51,1049.04,0.0,2302.0,2043.56
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,16384,1,994.51,2089.67,0.0,3594.0,3084.18
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,24576,1,994.51,3130.29,0.0,4874.0,4124.81
falcon-h1-0.5b,tiiuae/Falcon-H1-0.5B-Base,32768,1,994.51,4172.92,0.0,6154.0,5167.43


